img_path,question,ground_truth,predicts
vivqa-dataset/images/image_557067.jpg,màu của miếng vá là gì,màu xanh dương,màu xanh dương
vivqa-dataset/images/image_436394.jpg,màu của áo là gì,màu cam,màu đen
vivqa-dataset/images/image_541050.jpg,màu của áo là gì,màu xanh dương,màu tía
vivqa-dataset/images/image_426077.jpg,màu của căn phòng là gì,màu trắng,màu xanh dương
vivqa-dataset/images/image_314710.jpg,màu của quả bóng là gì,màu đỏ,màu vàng
vivqa-dataset/images/image_402362.jpg,màu của con ngựa là gì,màu nâu,màu nâu
vivqa-dataset/images/image_488812.jpg,màu của tòa nhà là gì,màu xám,màu vàng
vivqa-dataset/images/image_99010.jpg,màu của thập giá là gì,màu vàng,màu vàng
vivqa-dataset/images/image_334135.jpg,màu của điện thoại là gì,màu nâu,màu xanh dương
vivqa-dataset/images/image_219254.jpg,màu của xe máy là gì,màu xanh lá,màu xanh lá
vivqa-dataset/images/image_378790.jpg,màu của chiếc đĩa là gì,màu trắng,màu trắng
vivqa-dataset/images/image_155376.jpg,màu của vòi nước là gì,màu đỏ,màu đỏ
vivqa-dataset/images/image_225055.jpg,màu của áo là gì,màu xám,màu trắng
vivqa-dataset/images/image_27711.jpg,màu của xe buýt là gì,màu xanh dương,màu xanh dương
vivqa-dataset/images/image_479944.jpg,màu của túi là gì,màu vàng,màu vàng
vivqa-dataset/images/image_84448.jpg,màu của khăn là gì,màu xanh dương,màu xanh dương
vivqa-dataset/images/image_237988.jpg,màu của bầu trời là gì,màu xanh dương,màu xanh dương
vivqa-dataset/images/image_83151.jpg,màu của con ngựa là gì,màu nâu,màu nâu
vivqa-dataset/images/image_279451.jpg,màu sắc của máy bay phản lực là gì,màu trắng,màu trắng
vivqa-dataset/images/image_521125.jpg,màu của một nửa là gì,màu nâu,màu nâu
vivqa-dataset/images/image_531948.jpg,màu của quầy là gì,màu đen,màu trắng
vivqa-dataset/images/image_232410.jpg,màu của chiếc bình là gì,màu xanh dương,màu tía
vivqa-dataset/images/image_292302.jpg,màu của quả bóng là gì,màu cam,màu xanh lá
vivqa-dataset/images/image_287173.jpg,màu của xe máy là gì,màu xanh lá,màu xanh lá
vivqa-dataset/images/image_355534.jpg,màu của xe là gì,màu đỏ,màu đỏ
vivqa-dataset/images/image_389702.jpg,màu của bảng là gì,màu vàng,màu xanh lá
vivqa-dataset/images/image_87598.jpg,màu của áo là gì,màu đỏ,màu tía
vivqa-dataset/images/image_294849.jpg,màu của xe buýt là gì,màu đỏ,màu đỏ
vivqa-dataset/images/image_77557.jpg,màu của chiếc đĩa là gì,màu trắng,màu trắng
vivqa-dataset/images/image_382558.jpg,màu của bồn rửa mặt là gì,màu đen,màu trắng
vivqa-dataset/images/image_241211.jpg,màu của áo là gì,màu tía,màu tía
vivqa-dataset/images/image_189361.jpg,màu của xe buýt là gì,màu xanh lá,màu xanh lá
vivqa-dataset/images/image_439085.jpg,màu của con mèo là gì,màu đen,màu đen
vivqa-dataset/images/image_302932.jpg,màu của cà vạt là gì,màu nâu,màu đen
vivqa-dataset/images/image_510365.jpg,màu của áo là gì,màu trắng,màu cam
vivqa-dataset/images/image_173652.jpg,màu của xe là gì,màu xanh dương,màu xanh dương
vivqa-dataset/images/image_527364.jpg,màu của chiếc tàu là gì,màu đỏ,màu đỏ
vivqa-dataset/images/image_70380.jpg,màu sắc của icing là gì,màu trắng,màu trắng
vivqa-dataset/images/image_114674.jpg,màu của chiếc ô là gì,màu tía,màu tía
vivqa-dataset/images/image_209449.jpg,màu sắc của hành tây là gì,màu tía,màu vàng
vivqa-dataset/images/image_513241.jpg,màu của chiếc đĩa là gì,màu trắng,màu trắng
vivqa-dataset/images/image_68206.jpg,màu của bồn là gì,màu trắng,màu đen
vivqa-dataset/images/image_366025.jpg,màu của quầy là gì,màu trắng,màu xanh lá
vivqa-dataset/images/image_410704.jpg,màu sắc của người trồng là gì,màu cam,màu cam
vivqa-dataset/images/image_328069.jpg,màu mắt là gì,màu xanh dương,màu vàng
vivqa-dataset/images/image_2400.jpg,màu của áo là gì,màu xám,màu xanh dương
vivqa-dataset/images/image_25470.jpg,màu của mặt bàn là gì,màu đen,màu nâu
vivqa-dataset/images/image_193629.jpg,màu của chiếc thuyền là gì,màu xanh dương,màu xanh dương
vivqa-dataset/images/image_33494.jpg,màu của con ngựa là gì,màu nâu,màu nâu
vivqa-dataset/images/image_221042.jpg,màu của bình hoa là gì,màu xanh dương,màu xanh lá
vivqa-dataset/images/image_93764.jpg,màu của đồng cỏ là gì,màu xanh lá,màu xanh lá
